Time Step,TN,FP,FN,TP,Specificity,Recall,ROC AUC,F1 Score,Accuracy
1,929,39,11,283,0.9597107438016529,0.9625850340136054,0.9915809298926181,0.9188311688311688,0.9603803486529319
2,796,27,14,425,0.9671931956257594,0.9681093394077449,0.9946996515332261,0.9539842873176206,0.9675118858954042
3,740,27,13,478,0.9647979139504563,0.9735234215885947,0.9933669147656514,0.9598393574297188,0.9682034976152624
4,701,24,16,510,0.9668965517241379,0.9695817490494296,0.9948079192342991,0.9622641509433962,0.9680255795363709
5,371,15,15,350,0.961139896373057,0.958904109589041,0.9916104762580737,0.958904109589041,0.9600532623169108
6,352,12,11,363,0.967032967032967,0.9705882352941176,0.993668096609273,0.9692923898531375,0.9688346883468835
7,70,6,5,180,0.9210526315789473,0.972972972972973,0.9947368421052631,0.9703504043126685,0.9578544061302682
8,69,5,5,180,0.9324324324324325,0.972972972972973,0.9921840759678597,0.972972972972973,0.9613899613899614
1,915,60,8,278,0.9384615384615385,0.972027972027972,0.9915366684597453,0.8910256410256411,0.9460745440126883
2,798,16,4,444,0.9803439803439803,0.9910714285714286,0.9975978413478414,0.9779735682819384,0.9841521394611727
3,754,17,3,484,0.9779507133592736,0.9938398357289527,0.9977548558233926,0.979757085020243,0.9841017488076311
4,703,14,5,529,0.9804741980474198,0.9906367041198502,0.9977643009000255,0.9823584029712163,0.9848121502797762
5,371,8,1,371,0.978891820580475,0.9973118279569892,0.9972479927369706,0.9880159786950732,0.9880159786950732
6,350,8,1,379,0.9776536312849162,0.9973684210526316,0.9965083798882681,0.9882659713168188,0.9878048780487805
7,80,1,0,180,0.9876543209876543,1.0,0.9971879286694101,0.997229916897507,0.9961685823754789
8,78,1,1,180,0.9873417721518988,0.994475138121547,0.9974124064619904,0.994475138121547,0.9923076923076923
1,893,55,10,304,0.9419831223628692,0.9681528662420382,0.9909296138031121,0.9034175334323923,0.9484944532488114
2,769,18,13,462,0.97712833545108,0.9726315789473684,0.9964421855146125,0.9675392670157068,0.9754358161648178
3,711,24,13,510,0.9673469387755103,0.9751434034416826,0.9972086731442099,0.9649952696310312,0.9705882352941176
4,675,23,13,540,0.9670487106017192,0.976491862567812,0.9972797504624424,0.967741935483871,0.9712230215827338
5,344,14,11,382,0.9608938547486033,0.9720101781170484,0.9957425334413692,0.9683143219264893,0.966711051930759
6,323,11,12,392,0.9670658682634731,0.9702970297029703,0.997472876030118,0.9714993804213135,0.9688346883468835
7,64,1,4,192,0.9846153846153847,0.9795918367346939,0.9985871271585557,0.987146529562982,0.9808429118773946
8,62,3,3,191,0.9538461538461539,0.9845360824742269,0.9981760507533703,0.9845360824742269,0.9768339768339769
