Time Step,TN,FP,FN,TP,Specificity,Recall,ROC AUC,F1 Score,Accuracy
1,930,38,19,275,0.9607438016528925,0.935374149659864,0.9882955248214988,0.9060955518945635,0.9548335974643423
2,800,23,11,428,0.9720534629404617,0.9749430523917996,0.9975975444025276,0.9617977528089887,0.9730586370839936
3,746,21,11,480,0.9726205997392438,0.9775967413441955,0.9966223841400754,0.967741935483871,0.9745627980922098
4,704,21,8,518,0.9710344827586207,0.9847908745247148,0.9967903500721124,0.9727699530516432,0.9768185451638689
5,376,10,3,362,0.9740932642487047,0.9917808219178083,0.9978351905742068,0.9823609226594301,0.9826897470039947
6,356,8,5,369,0.978021978021978,0.9866310160427807,0.9980240347887407,0.9826897470039947,0.9823848238482384
7,74,2,3,182,0.9736842105263158,0.9837837837837838,0.9975817923186344,0.986449864498645,0.9808429118773946
8,72,2,2,183,0.972972972972973,0.9891891891891892,0.9975894813732652,0.9891891891891892,0.9845559845559846
1,907,68,11,275,0.9302564102564103,0.9615384615384616,0.9846691769768694,0.8744038155802861,0.9373513084853291
2,794,20,17,431,0.9754299754299754,0.9620535714285714,0.9954040891540891,0.9588431590656284,0.9706814580031695
3,749,22,14,473,0.9714656290531777,0.971252566735113,0.9962021641804958,0.9633401221995926,0.9713831478537361
4,700,17,9,525,0.9762900976290098,0.9831460674157303,0.997432602552249,0.9758364312267658,0.9792166266986411
5,369,10,4,368,0.9736147757255936,0.989247311827957,0.9976380968593072,0.9813333333333333,0.9813581890812251
6,352,6,5,375,0.9832402234636871,0.9868421052631579,0.9984122316965598,0.985545335085414,0.9850948509485095
7,81,0,3,177,1.0,0.9833333333333333,0.9995884773662551,0.9915966386554622,0.9885057471264368
8,77,2,3,178,0.9746835443037974,0.9834254143646409,0.9993006503951325,0.9861495844875346,0.9807692307692307
1,891,57,17,297,0.939873417721519,0.945859872611465,0.9819902442957349,0.8892215568862275,0.9413629160063391
2,766,21,10,465,0.9733163913595934,0.9789473684210527,0.9954925433023474,0.967741935483871,0.9754358161648178
3,721,14,12,511,0.9809523809523809,0.9770554493307839,0.9963502035613481,0.9751908396946565,0.9793322734499205
4,687,11,10,543,0.9842406876790831,0.9819168173598554,0.9974170582962429,0.981029810298103,0.9832134292565947
5,350,8,7,386,0.9776536312849162,0.9821882951653944,0.9985855828962145,0.9809402795425667,0.9800266311584553
6,329,5,7,397,0.9850299401197605,0.9826732673267327,0.9993330171340488,0.9851116625310173,0.983739837398374
7,64,1,3,193,0.9846153846153847,0.9846938775510204,0.9996075353218211,0.9897435897435898,0.9846743295019157
8,63,2,3,191,0.9692307692307692,0.9845360824742269,0.9991276764472641,0.9870801033591732,0.9806949806949807
