Time Step,TN,FP,FN,TP,Specificity,Recall,ROC AUC,F1 Score,Accuracy
1,917,91,13,29,0.9097222222222222,0.6904761904761905,0.8288218065003778,0.35802469135802467,0.900952380952381
2,835,123,29,54,0.8716075156576201,0.6506024096385542,0.7998591443016324,0.4153846153846154,0.8539865513928915
3,740,134,33,63,0.8466819221967964,0.65625,0.7985912471395881,0.4300341296928328,0.8278350515463917
4,603,138,33,60,0.8137651821862348,0.6451612903225806,0.7612932247906781,0.41237113402061853,0.7949640287769785
5,467,139,31,55,0.7706270627062707,0.6395348837209303,0.7611865837746565,0.39285714285714285,0.7543352601156069
6,363,131,24,49,0.7348178137651822,0.6712328767123288,0.7575841606122788,0.38735177865612647,0.7266313932980599
7,301,114,18,50,0.7253012048192771,0.7352941176470589,0.7727498228206945,0.43103448275862066,0.7267080745341615
8,246,95,19,49,0.7214076246334311,0.7205882352941176,0.7555632223563913,0.46226415094339623,0.7212713936430318
9,198,87,21,48,0.6947368421052632,0.6956521739130435,0.7524535977625223,0.47058823529411764,0.6949152542372882
10,179,67,23,46,0.7276422764227642,0.6666666666666666,0.7591610698715683,0.5054945054945055,0.7142857142857143
11,150,66,20,44,0.6944444444444444,0.6875,0.7468894675925927,0.5057471264367817,0.6928571428571428
12,125,67,18,43,0.6510416666666666,0.7049180327868853,0.753842213114754,0.5029239766081871,0.6640316205533597
13,106,66,20,38,0.6162790697674418,0.6551724137931034,0.7245388933440257,0.4691358024691358,0.6260869565217392
14,87,63,17,40,0.58,0.7017543859649122,0.723391812865497,0.5,0.6135265700483091
1,814,187,9,40,0.8131868131868132,0.8163265306122449,0.8816081877306369,0.2898550724637681,0.8133333333333334
2,769,180,21,71,0.8103266596417281,0.7717391304347826,0.8648462912906034,0.4139941690962099,0.8069164265129684
3,700,167,31,72,0.8073817762399077,0.6990291262135923,0.8304386289067311,0.42105263157894735,0.7958762886597938
4,595,146,32,61,0.8029689608636977,0.6559139784946236,0.8027658061613919,0.4066666666666667,0.7865707434052758
5,485,124,31,52,0.7963875205254516,0.6265060240963856,0.7814113597246128,0.4015444015444015,0.7760115606936416
6,367,115,32,53,0.7614107883817427,0.6235294117647059,0.7612887478642908,0.4189723320158103,0.7407407407407407
7,294,111,24,54,0.725925925925926,0.6923076923076923,0.7818930041152264,0.4444444444444444,0.7204968944099379
8,249,86,22,52,0.7432835820895523,0.7027027027027027,0.7856393707139975,0.49056603773584906,0.7359413202933985
9,212,72,23,47,0.7464788732394366,0.6714285714285714,0.7891851106639839,0.4973544973544973,0.731638418079096
10,190,59,22,44,0.7630522088353414,0.6666666666666666,0.778021175611537,0.5207100591715976,0.7428571428571429
11,161,55,21,43,0.7453703703703703,0.671875,0.7868923611111112,0.5308641975308642,0.7285714285714285
12,143,47,21,42,0.7526315789473684,0.6666666666666666,0.7953216374269007,0.5526315789473685,0.7312252964426877
13,121,47,20,42,0.7202380952380952,0.6774193548387096,0.7719854070660521,0.5562913907284768,0.7086956521739131
14,111,41,15,40,0.7302631578947368,0.7272727272727273,0.7925837320574162,0.5882352941176471,0.7294685990338164
1,807,196,8,39,0.8045862412761715,0.8297872340425532,0.8822468763921003,0.2765957446808511,0.8057142857142857
2,762,192,22,65,0.7987421383647799,0.7471264367816092,0.841261235210487,0.37790697674418605,0.7944284341978867
3,693,183,29,65,0.791095890410959,0.6914893617021277,0.7988438744778004,0.38011695906432746,0.7814432989690722
4,588,153,30,63,0.7935222672064778,0.6774193548387096,0.7790982833427655,0.4077669902912621,0.7805755395683454
5,470,133,32,57,0.7794361525704809,0.6404494382022472,0.7564425065682823,0.40860215053763443,0.7615606936416185
6,365,109,36,57,0.770042194092827,0.6129032258064516,0.7312508506873554,0.44015444015444016,0.7442680776014109
7,296,97,32,58,0.7531806615776081,0.6444444444444445,0.7505513146734522,0.47346938775510206,0.7329192546583851
8,238,84,29,58,0.7391304347826086,0.6666666666666666,0.7475904904690512,0.5065502183406113,0.7237163814180929
9,199,72,29,54,0.7343173431734318,0.6506024096385542,0.7597919352687502,0.5167464114832536,0.7146892655367232
10,172,61,21,61,0.7381974248927039,0.7439024390243902,0.7803831257196692,0.5980392156862745,0.7396825396825397
11,150,53,20,57,0.7389162561576355,0.7402597402597403,0.7868978312328065,0.6096256684491979,0.7392857142857143
12,130,50,15,58,0.7222222222222222,0.7945205479452054,0.8063165905631658,0.6408839779005525,0.7430830039525692
13,112,49,15,54,0.6956521739130435,0.782608695652174,0.782338644342425,0.627906976744186,0.7217391304347827
14,95,47,14,51,0.6690140845070423,0.7846153846153846,0.8019501625135428,0.6257668711656442,0.7053140096618358
