Time Step,TN,FP,FN,TP,Specificity,Recall,ROC AUC,F1 Score,Accuracy
1,929,79,16,26,0.9216269841269841,0.6190476190476191,0.8160194633408919,0.35374149659863946,0.9095238095238095
2,841,117,32,51,0.8778705636743215,0.6144578313253012,0.7881253615715472,0.4063745019920319,0.8568683957732949
3,748,126,35,61,0.8558352402745996,0.6354166666666666,0.7938954042715485,0.43109540636042404,0.8340206185567011
4,603,138,33,60,0.8137651821862348,0.6451612903225806,0.7540522107584925,0.41237113402061853,0.7949640287769785
5,473,133,30,56,0.7805280528052805,0.6511627906976745,0.7529741346227646,0.4072727272727273,0.7644508670520231
6,373,121,25,48,0.7550607287449392,0.6575342465753424,0.7449670012755809,0.39669421487603307,0.7425044091710759
7,308,107,18,50,0.7421686746987952,0.7352941176470589,0.7688873139617293,0.4444444444444444,0.7412008281573499
8,258,83,22,46,0.7565982404692082,0.6764705882352942,0.7497843712264964,0.467005076142132,0.7432762836185819
9,210,75,23,46,0.7368421052631579,0.6666666666666666,0.7580981439105008,0.4842105263157895,0.7231638418079096
10,186,60,24,45,0.7560975609756098,0.6521739130434783,0.7692353010486627,0.5172413793103449,0.7333333333333333
11,158,58,20,44,0.7314814814814815,0.6875,0.7632378472222222,0.5301204819277109,0.7214285714285714
12,133,59,17,44,0.6927083333333334,0.7213114754098361,0.7733094262295083,0.5365853658536586,0.6996047430830039
13,117,55,20,38,0.6802325581395349,0.6551724137931034,0.740477145148356,0.5033112582781457,0.6739130434782609
14,98,52,17,40,0.6533333333333333,0.7017543859649122,0.7376608187134502,0.5369127516778524,0.6666666666666666
1,830,171,9,40,0.8291708291708292,0.8163265306122449,0.876368529429754,0.3076923076923077,0.8285714285714286
2,779,170,23,69,0.8208640674394099,0.75,0.8594401429422275,0.4169184290030212,0.8146013448607109
3,719,148,32,71,0.8292964244521338,0.6893203883495146,0.8305618078185014,0.4409937888198758,0.8144329896907216
4,626,115,36,57,0.844804318488529,0.6129032258064516,0.7993847314730167,0.43018867924528303,0.8189448441247003
5,512,97,34,49,0.8407224958949097,0.5903614457831325,0.7727461570419609,0.4279475982532751,0.8106936416184971
6,395,87,34,51,0.8195020746887967,0.6,0.7587258969978032,0.45739910313901344,0.7865961199294532
7,326,79,29,49,0.8049382716049382,0.6282051282051282,0.7794238683127573,0.47572815533980584,0.7763975155279503
8,268,67,25,49,0.8,0.6621621621621622,0.7791044776119403,0.5157894736842106,0.7750611246943765
9,230,54,25,45,0.8098591549295775,0.6428571428571429,0.7828470824949698,0.5325443786982249,0.7768361581920904
10,199,50,24,42,0.7991967871485943,0.6363636363636364,0.7616526712912256,0.5316455696202531,0.765079365079365
11,177,39,25,39,0.8194444444444444,0.609375,0.7800202546296295,0.5492957746478874,0.7714285714285715
12,156,34,24,39,0.8210526315789474,0.6190476190476191,0.7692564745196323,0.5735294117647058,0.7707509881422925
13,135,33,26,36,0.8035714285714286,0.5806451612903226,0.7335829493087557,0.549618320610687,0.7434782608695653
14,123,29,20,35,0.8092105263157895,0.6363636363636364,0.767464114832536,0.5882352941176471,0.7632850241545893
1,867,136,10,37,0.864406779661017,0.7872340425531915,0.8470333679811629,0.33636363636363636,0.8609523809523809
2,847,107,31,56,0.8878406708595388,0.6436781609195402,0.8166341357623076,0.448,0.8674351585014409
3,785,91,40,54,0.8961187214611872,0.574468085106383,0.7981030797629457,0.45188284518828453,0.8649484536082475
4,656,85,41,52,0.8852901484480432,0.5591397849462365,0.781594183971094,0.45217391304347826,0.8489208633093526
5,522,81,44,45,0.8656716417910447,0.5056179775280899,0.7642312780665959,0.4186046511627907,0.819364161849711
6,409,65,45,48,0.8628691983122363,0.5161290322580645,0.746563223084252,0.46601941747572817,0.8059964726631393
7,329,64,41,49,0.8371501272264631,0.5444444444444444,0.7512439920836869,0.4827586206896552,0.782608695652174
8,265,57,42,45,0.8229813664596274,0.5172413793103449,0.7271721282216035,0.47619047619047616,0.7579462102689487
9,226,45,39,44,0.8339483394833949,0.5301204819277109,0.7392522117992265,0.5116279069767442,0.7627118644067796
10,195,38,34,48,0.8369098712446352,0.5853658536585366,0.7665131372343766,0.5714285714285714,0.7714285714285715
11,171,32,30,47,0.8423645320197044,0.6103896103896104,0.7844667647623311,0.6025641025641025,0.7785714285714286
12,154,26,26,47,0.8555555555555555,0.6438356164383562,0.8197108066971079,0.6438356164383562,0.7944664031620553
13,134,27,25,44,0.8322981366459627,0.6376811594202898,0.7917004230803852,0.6285714285714286,0.7739130434782608
14,118,24,24,41,0.8309859154929577,0.6307692307692307,0.7773564463705309,0.6307692307692307,0.7681159420289855
