Time Step,TN,FP,FN,TP,Specificity,Recall,ROC AUC,F1 Score,Accuracy
1,880,128,16,26,0.873015873015873,0.6190476190476191,0.8312074829931974,0.2653061224489796,0.8628571428571429
2,819,139,32,51,0.8549060542797495,0.6144578313253012,0.8037452524083809,0.37362637362637363,0.8357348703170029
3,746,128,37,59,0.8535469107551488,0.6145833333333334,0.7906774408848207,0.4169611307420495,0.8298969072164949
4,625,116,40,53,0.8434547908232118,0.5698924731182796,0.7460711331679073,0.40458015267175573,0.8129496402877698
5,497,109,38,48,0.8201320132013201,0.5581395348837209,0.7371824391741499,0.3950617283950617,0.7875722543352601
6,393,101,29,44,0.7955465587044535,0.6027397260273972,0.7374798957351228,0.4036697247706422,0.7707231040564374
7,321,94,23,45,0.7734939759036145,0.6617647058823529,0.7620127569099929,0.43478260869565216,0.7577639751552795
8,258,83,22,46,0.7565982404692082,0.6764705882352942,0.7512937726410213,0.467005076142132,0.7432762836185819
9,211,74,24,45,0.7403508771929824,0.6521739130434783,0.742740910246631,0.4787234042553192,0.7231638418079096
10,177,69,24,45,0.7195121951219512,0.6521739130434783,0.7226935312831387,0.4918032786885246,0.7047619047619048
11,157,59,25,39,0.7268518518518519,0.609375,0.7073929398148148,0.48148148148148145,0.7
12,133,59,22,39,0.6927083333333334,0.639344262295082,0.7200307377049179,0.49056603773584906,0.6798418972332015
13,117,55,22,36,0.6802325581395349,0.6206896551724138,0.7052927024859663,0.48322147651006714,0.6652173913043479
14,96,54,22,35,0.64,0.6140350877192983,0.7072514619883041,0.4794520547945205,0.6328502415458938
1,882,119,11,38,0.8811188811188811,0.7755102040816326,0.8798752268140024,0.36893203883495146,0.8761904761904762
2,808,141,24,68,0.8514225500526871,0.7391304347826086,0.8644454116461263,0.45182724252491696,0.8414985590778098
3,720,147,35,68,0.8304498269896193,0.6601941747572816,0.8382884850113659,0.4276729559748428,0.8123711340206186
4,613,128,31,62,0.8272604588394062,0.6666666666666666,0.8044345769303324,0.4381625441696113,0.8093525179856115
5,494,115,28,55,0.8111658456486043,0.6626506024096386,0.7795121372188261,0.43478260869565216,0.7933526011560693
6,367,115,30,55,0.7614107883817427,0.6470588235294118,0.7684403221869661,0.43137254901960786,0.7442680776014109
7,297,108,24,54,0.7333333333333333,0.6923076923076923,0.791579613801836,0.45,0.7267080745341615
8,236,99,24,50,0.7044776119402985,0.6756756756756757,0.7872529245663574,0.4484304932735426,0.6992665036674817
9,198,86,23,47,0.6971830985915493,0.6714285714285714,0.7836519114688129,0.4630541871921182,0.692090395480226
10,175,74,22,44,0.7028112449799196,0.6666666666666666,0.7614701229159061,0.4782608695652174,0.6952380952380952
11,154,62,20,44,0.7129629629629629,0.6875,0.7704716435185185,0.5176470588235295,0.7071428571428572
12,133,57,20,43,0.7,0.6825396825396826,0.7805346700083542,0.5276073619631901,0.6956521739130435
13,113,55,22,40,0.6726190476190477,0.6451612903225806,0.7528801843317973,0.5095541401273885,0.6652173913043479
14,104,48,16,39,0.6842105263157895,0.7090909090909091,0.7889952153110047,0.5492957746478874,0.6908212560386473
1,896,107,13,34,0.8933200398803589,0.723404255319149,0.8347298529942089,0.3617021276595745,0.8857142857142857
2,830,124,34,53,0.870020964360587,0.6091954022988506,0.8222487288850334,0.4015151515151515,0.8482228626320846
3,729,147,40,54,0.8321917808219178,0.574468085106383,0.7903672398717575,0.36610169491525424,0.8072164948453608
4,593,148,39,54,0.8002699055330634,0.5806451612903226,0.7670105785555701,0.36610169491525424,0.7757793764988009
5,471,132,38,51,0.7810945273631841,0.5730337078651685,0.7446289153483518,0.375,0.7543352601156069
6,372,102,40,53,0.7848101265822784,0.5698924731182796,0.7322716755138152,0.4274193548387097,0.7495590828924162
7,302,91,38,52,0.7684478371501272,0.5777777777777777,0.7363302233531241,0.44635193133047213,0.7329192546583851
8,243,79,35,52,0.7546583850931677,0.5977011494252874,0.7271721282216035,0.47706422018348627,0.7212713936430318
9,199,72,33,50,0.7343173431734318,0.6024096385542169,0.7428533321477792,0.4878048780487805,0.7033898305084746
10,174,59,27,55,0.7467811158798283,0.6707317073170732,0.7838898775253847,0.5612244897959183,0.726984126984127
11,151,52,26,51,0.7438423645320197,0.6623376623376623,0.789456848570149,0.5666666666666667,0.7214285714285714
12,135,45,21,52,0.75,0.7123287671232876,0.8210045662100457,0.611764705882353,0.7391304347826086
13,112,49,17,52,0.6956521739130435,0.7536231884057971,0.792240525699883,0.611764705882353,0.7130434782608696
14,96,46,15,50,0.676056338028169,0.7692307692307693,0.7868905742145178,0.6211180124223602,0.7053140096618358
