Time Step,TN,FP,FN,TP,Specificity,Recall,ROC AUC,F1 Score,Accuracy
1,788,220,13,29,0.7817460317460317,0.6904761904761905,0.8277825018896448,0.19931271477663232,0.7780952380952381
2,740,218,27,56,0.7724425887265136,0.6746987951807228,0.7833714817516412,0.3137254901960784,0.7646493756003843
3,669,205,30,66,0.7654462242562929,0.6875,0.7908562166285279,0.35967302452316074,0.7577319587628866
4,567,174,28,65,0.7651821862348178,0.6989247311827957,0.753689434504375,0.39156626506024095,0.7577937649880095
5,450,156,27,59,0.7425742574257426,0.686046511627907,0.7458553994934377,0.3920265780730897,0.7355491329479769
6,357,137,24,49,0.7226720647773279,0.6712328767123288,0.7505684654206645,0.3783783783783784,0.7160493827160493
7,291,124,21,47,0.7012048192771084,0.6911764705882353,0.7630758327427357,0.39330543933054396,0.6997929606625258
8,236,105,23,45,0.6920821114369502,0.6617647058823529,0.7292565119889598,0.41284403669724773,0.687041564792176
9,194,91,24,45,0.6807017543859649,0.6521739130434783,0.7268751589117722,0.43902439024390244,0.6751412429378532
10,173,73,22,47,0.7032520325203252,0.6811594202898551,0.7267585719335455,0.4973544973544973,0.6984126984126984
11,145,71,19,45,0.6712962962962963,0.703125,0.7285879629629629,0.5,0.6785714285714286
12,122,70,17,44,0.6354166666666666,0.7213114754098361,0.7362534153005464,0.5028571428571429,0.6561264822134387
13,109,63,18,40,0.6337209302325582,0.6896551724137931,0.7183239775461107,0.4968944099378882,0.6478260869565218
14,96,54,17,40,0.64,0.7017543859649122,0.7125146198830409,0.5298013245033113,0.6570048309178744
1,743,258,10,39,0.7422577422577422,0.7959183673469388,0.8738404452690167,0.2254335260115607,0.7447619047619047
2,700,249,24,68,0.7376185458377239,0.7391304347826086,0.8401750125990745,0.33251833740831294,0.7377521613832853
3,656,211,32,71,0.7566320645905421,0.6893203883495146,0.8129024311037951,0.36883116883116884,0.7494845360824742
4,559,182,34,59,0.7543859649122807,0.6344086021505376,0.7806509657103884,0.3532934131736527,0.7410071942446043
5,458,151,30,53,0.7520525451559934,0.6385542168674698,0.7627356717510435,0.3693379790940767,0.7384393063583815
6,349,133,30,55,0.7240663900414938,0.6470588235294118,0.7512082011227728,0.40293040293040294,0.7125220458553791
7,282,123,25,53,0.6962962962962963,0.6794871794871795,0.7582462804685026,0.41732283464566927,0.6935817805383023
8,230,105,22,52,0.6865671641791045,0.7027027027027027,0.7590560709963696,0.45021645021645024,0.6894865525672371
9,204,80,22,48,0.7183098591549296,0.6857142857142857,0.7558853118712275,0.48484848484848486,0.711864406779661
10,174,75,19,47,0.6987951807228916,0.7121212121212122,0.7576974564926372,0.5,0.7015873015873015
11,151,65,20,44,0.6990740740740741,0.6875,0.763671875,0.5086705202312138,0.6964285714285714
12,133,57,17,46,0.7,0.7301587301587301,0.7724310776942356,0.5542168674698795,0.7075098814229249
13,114,54,17,45,0.6785714285714286,0.7258064516129032,0.7789938556067588,0.5590062111801242,0.691304347826087
14,107,45,15,40,0.7039473684210527,0.7272727272727273,0.7916267942583732,0.5714285714285714,0.7101449275362319
1,786,217,5,42,0.7836490528414756,0.8936170212765957,0.9020597781124711,0.27450980392156865,0.7885714285714286
2,702,252,20,67,0.7358490566037735,0.7701149425287356,0.8348273452372347,0.33004926108374383,0.7387127761767531
3,639,237,26,68,0.7294520547945206,0.723404255319149,0.7892499757116487,0.3408521303258145,0.7288659793814433
4,539,202,27,66,0.7273954116059379,0.7096774193548387,0.7721039571633799,0.3656509695290859,0.7254196642685852
5,436,167,29,60,0.7230514096185738,0.6741573033707865,0.7458214545251272,0.379746835443038,0.7167630057803468
6,340,134,34,59,0.7172995780590717,0.6344086021505376,0.7211333424073318,0.4125874125874126,0.7037037037037037
7,274,119,34,56,0.6972010178117048,0.6222222222222222,0.723579304495335,0.4226415094339623,0.6832298136645962
8,213,109,29,58,0.6614906832298136,0.6666666666666666,0.7229242521596345,0.4566929133858268,0.6625916870415648
9,178,93,30,53,0.6568265682656826,0.6385542168674698,0.7119992886675856,0.462882096069869,0.652542372881356
10,154,79,27,55,0.6609442060085837,0.6707317073170732,0.7435360619700618,0.5092592592592593,0.6634920634920635
11,134,69,26,51,0.6600985221674877,0.6623376623376623,0.7443541679994883,0.5177664974619289,0.6607142857142857
12,119,61,22,51,0.6611111111111111,0.6986301369863014,0.7553272450532724,0.5513513513513514,0.6719367588932806
13,106,55,22,47,0.6583850931677019,0.6811594202898551,0.7485822306238186,0.5497076023391813,0.6652173913043479
14,96,46,19,46,0.676056338028169,0.7076923076923077,0.7542795232936078,0.5859872611464968,0.6859903381642513
