Time Step,TN,FP,FN,TP,Specificity,Recall,ROC AUC,F1 Score,Accuracy
1,826,182,13,29,0.8194444444444444,0.6904761904761905,0.861276455026455,0.22924901185770752,0.8142857142857143
2,851,107,35,48,0.8883089770354906,0.5783132530120482,0.8127373795809543,0.40336134453781514,0.8635926993275697
3,777,97,40,56,0.8890160183066361,0.5833333333333334,0.7895988272311214,0.4497991967871486,0.8587628865979381
4,652,89,45,48,0.8798920377867746,0.5161290322580645,0.7547342301162335,0.41739130434782606,0.8393285371702638
5,522,84,48,38,0.8613861386138614,0.4418604651162791,0.7373359428966152,0.36538461538461536,0.8092485549132948
6,417,77,38,35,0.8441295546558705,0.4794520547945205,0.74613166213743,0.3783783783783784,0.7971781305114638
7,347,68,30,38,0.8361445783132531,0.5588235294117647,0.7685683912119065,0.4367816091954023,0.7971014492753623
8,285,56,29,39,0.8357771260997068,0.5735294117647058,0.75426944971537,0.4785276073619632,0.7921760391198044
9,235,50,30,39,0.8245614035087719,0.5652173913043478,0.7469616069158402,0.4936708860759494,0.7740112994350282
10,207,39,29,40,0.8414634146341463,0.5797101449275363,0.7373630258041711,0.5405405405405406,0.7841269841269841
11,174,42,25,39,0.8055555555555556,0.609375,0.7321325231481481,0.5379310344827586,0.7607142857142857
12,155,37,19,42,0.8072916666666666,0.6885245901639344,0.7657957650273224,0.6,0.7786561264822134
13,138,34,21,37,0.8023255813953488,0.6379310344827587,0.7395749799518846,0.5736434108527132,0.7608695652173914
14,117,33,18,39,0.78,0.6842105263157895,0.738362573099415,0.6046511627906976,0.7536231884057971
1,880,121,9,40,0.8791208791208791,0.8163265306122449,0.8844420885237212,0.38095238095238093,0.8761904761904762
2,734,215,23,69,0.7734457323498419,0.75,0.8484674943876849,0.3670212765957447,0.7713736791546589
3,664,203,29,74,0.7658592848904268,0.7184466019417476,0.827168788703374,0.3894736842105263,0.7608247422680412
4,576,165,34,59,0.7773279352226721,0.6344086021505376,0.7965840987912296,0.3722397476340694,0.7613908872901679
5,467,142,28,55,0.7668308702791461,0.6626506024096386,0.7815894118345301,0.39285714285714285,0.7543352601156069
6,359,123,30,55,0.7448132780082988,0.6470588235294118,0.7581401025140347,0.41825095057034223,0.7301587301587301
7,294,111,25,53,0.725925925925926,0.6794871794871795,0.7596074707185819,0.4380165289256198,0.7184265010351967
8,242,93,24,50,0.7223880597014926,0.6756756756756757,0.7699072206534894,0.4608294930875576,0.7139364303178484
9,209,75,24,46,0.7359154929577465,0.6571428571428571,0.7696177062374245,0.4816753926701571,0.7203389830508474
10,187,62,27,39,0.751004016064257,0.5909090909090909,0.7425459413411221,0.46706586826347307,0.7174603174603175
11,162,54,24,40,0.75,0.625,0.7366174768518519,0.5063291139240507,0.7214285714285714
12,146,44,24,39,0.7684210526315789,0.6190476190476191,0.7365079365079366,0.5342465753424658,0.7312252964426877
13,128,40,24,38,0.7619047619047619,0.6129032258064516,0.7001728110599078,0.5428571428571428,0.7217391304347827
14,114,38,21,34,0.75,0.6181818181818182,0.7425837320574162,0.5354330708661418,0.714975845410628
1,913,90,12,35,0.9102691924227319,0.7446808510638298,0.8858955049744385,0.4069767441860465,0.9028571428571428
2,866,88,31,56,0.9077568134171907,0.6436781609195402,0.8192486565941349,0.48484848484848486,0.8856868395773295
3,800,76,42,52,0.91324200913242,0.5531914893617021,0.7888735062663946,0.46846846846846846,0.8783505154639175
4,670,71,48,45,0.9041835357624831,0.4838709677419355,0.7489878542510121,0.430622009569378,0.8573141486810552
5,539,64,48,41,0.8938640132669984,0.4606741573033708,0.7613617306724804,0.422680412371134,0.838150289017341
6,417,57,52,41,0.879746835443038,0.44086021505376344,0.7198176126310059,0.4293193717277487,0.8077601410934744
7,346,47,52,38,0.8804071246819338,0.4222222222222222,0.7027565733672604,0.4342857142857143,0.7950310559006211
8,280,42,48,39,0.8695652173913043,0.4482758620689655,0.7162490183479688,0.4642857142857143,0.7799511002444988
9,236,35,44,39,0.8708487084870848,0.46987951807228917,0.7172009069488285,0.4968152866242038,0.7768361581920904
10,203,30,37,45,0.871244635193133,0.5487804878048781,0.7600753689940334,0.5732484076433121,0.7873015873015873
11,177,26,35,42,0.8719211822660099,0.5454545454545454,0.7832512315270935,0.5793103448275863,0.7821428571428571
12,155,25,32,41,0.8611111111111112,0.5616438356164384,0.7811263318112633,0.5899280575539568,0.7747035573122529
13,135,26,28,41,0.8385093167701864,0.5942028985507246,0.7605545053560175,0.6029411764705882,0.7652173913043478
14,118,24,26,39,0.8309859154929577,0.6,0.7699891657638137,0.609375,0.7584541062801933
