Time Step,TN,FP,FN,TP,Specificity,Recall,ROC AUC,F1 Score,Accuracy
1,919,49,7,287,0.9493801652892562,0.9761904761904762,0.995193118569742,0.9111111111111111,0.9556259904912837
2,796,27,4,435,0.9671931956257594,0.9908883826879271,0.9974287082372675,0.9655937846836848,0.9754358161648178
3,744,23,5,486,0.970013037809648,0.9898167006109979,0.9973778335993118,0.972,0.9777424483306836
4,706,19,4,522,0.9737931034482759,0.9923954372623575,0.9985734889209389,0.9784442361761949,0.9816147082334132
5,370,16,6,359,0.9585492227979274,0.9835616438356164,0.9981687841578537,0.9702702702702702,0.9707057256990679
6,351,13,8,366,0.9642857142857143,0.9786096256684492,0.9971719457013575,0.9721115537848606,0.9715447154471545
7,71,5,7,178,0.9342105263157895,0.9621621621621622,0.9931009957325747,0.967391304347826,0.9540229885057471
8,70,4,8,177,0.9459459459459459,0.9567567567567568,0.9921840759678597,0.9672131147540983,0.9536679536679536
1,933,42,14,272,0.9569230769230769,0.951048951048951,0.9914362560516407,0.9066666666666666,0.9555908009516257
2,788,26,9,439,0.9680589680589681,0.9799107142857143,0.9964516058266057,0.9616648411829135,0.9722662440570523
3,745,26,6,481,0.9662775616083009,0.9876796714579056,0.9956268959217209,0.9678068410462777,0.9745627980922098
4,698,19,11,523,0.9735006973500697,0.9794007490636704,0.9954398006675755,0.9721189591078067,0.9760191846522782
5,371,8,6,366,0.978891820580475,0.9838709677419355,0.994871903991829,0.9812332439678284,0.9813581890812251
6,350,8,10,370,0.9776536312849162,0.9736842105263158,0.9937628638635695,0.9762532981530343,0.975609756097561
7,76,5,3,177,0.9382716049382716,0.9833333333333333,0.989437585733882,0.9779005524861878,0.9693486590038314
8,75,4,6,175,0.9493670886075949,0.9668508287292817,0.9875515770333589,0.9722222222222222,0.9615384615384616
1,916,32,23,291,0.9662447257383966,0.9267515923566879,0.9926429089736355,0.9136577708006279,0.9564183835182251
2,772,15,12,463,0.9809402795425667,0.9747368421052631,0.9982638935330702,0.9716684155299056,0.9786053882725833
3,723,12,14,509,0.9836734693877551,0.9732313575525813,0.9984755661346756,0.975095785440613,0.9793322734499205
4,688,10,13,540,0.9856733524355301,0.976491862567812,0.9986580102281383,0.9791477787851315,0.9816147082334132
5,344,14,9,384,0.9608938547486033,0.9770992366412213,0.9975834079633815,0.9709228824273072,0.9693741677762983
6,326,8,8,396,0.9760479041916168,0.9801980198019802,0.9979175312740854,0.9801980198019802,0.978319783197832
7,63,2,3,193,0.9692307692307692,0.9846938775510204,0.9956043956043956,0.9872122762148338,0.9808429118773946
8,62,3,6,188,0.9538461538461539,0.9690721649484536,0.9951625693893735,0.9766233766233766,0.9652509652509652
