Time Step,TN,FP,FN,TP,Specificity,Recall,ROC AUC,F1 Score,Accuracy
1,968,0,294,0,1.0,0.0,0.6541469893742621,0.0,0.7670364500792393
2,823,0,439,0,1.0,0.0,0.652493654804773,0.0,0.6521394611727417
3,767,0,491,0,1.0,0.0,0.7227195118389154,0.0,0.609697933227345
4,725,0,526,0,1.0,0.0,0.667616362921201,0.0,0.5795363709032774
5,386,0,365,0,1.0,0.0,0.6888920434381431,0.0,0.5139813581890812
6,364,0,374,0,1.0,0.0,0.7236807310336721,0.0,0.4932249322493225
7,76,0,185,0,1.0,0.0,0.784815078236131,0.0,0.29118773946360155
8,74,0,185,0,1.0,0.0,0.7891526661796933,0.0,0.2857142857142857
1,948,27,214,72,0.9723076923076923,0.2517482517482518,0.9244611798457951,0.37402597402597404,0.8088818398096749
2,703,111,157,291,0.8636363636363636,0.6495535714285714,0.8833856177606177,0.6847058823529412,0.7876386687797148
3,644,127,113,374,0.8352788586251622,0.7679671457905544,0.8834043097180387,0.757085020242915,0.809220985691574
4,612,105,142,392,0.8535564853556485,0.7340823970037453,0.8868242625588308,0.7604267701260912,0.8025579536370904
5,347,32,129,243,0.9155672823218998,0.6532258064516129,0.9031690640338184,0.7511591962905718,0.7856191744340879
6,327,31,122,258,0.9134078212290503,0.6789473684210526,0.9064245810055866,0.7713004484304933,0.7926829268292683
7,80,1,47,133,0.9876543209876543,0.7388888888888889,0.9759259259259259,0.8471337579617835,0.8160919540229885
8,76,3,38,143,0.9620253164556962,0.7900552486187845,0.9769913979998601,0.8746177370030581,0.8423076923076923
1,803,145,64,250,0.8470464135021097,0.7961783439490446,0.8826073664973529,0.7052186177715092,0.8343898573692552
2,652,135,185,290,0.8284625158831004,0.6105263157894737,0.8523694241958135,0.6444444444444445,0.7464342313787639
3,604,131,191,332,0.8217687074829932,0.6347992351816444,0.8516629596389225,0.6734279918864098,0.7440381558028617
4,545,153,162,391,0.7808022922636103,0.7070524412296564,0.843124504525977,0.7128532360984503,0.7482014388489209
5,295,63,147,246,0.8240223463687151,0.6259541984732825,0.8439236925526319,0.7008547008547008,0.7203728362183754
6,258,76,92,312,0.7724550898203593,0.7722772277227723,0.8552276634849113,0.7878787878787878,0.7723577235772358
7,55,10,47,149,0.8461538461538461,0.7602040816326531,0.909497645211931,0.8394366197183099,0.7816091954022989
8,54,11,42,152,0.8307692307692308,0.7835051546391752,0.9158604282315623,0.8515406162464986,0.7953667953667953
