Time Step,TN,FP,FN,TP,Specificity,Recall,ROC AUC,F1 Score,Accuracy
1,939,69,14,28,0.9315476190476191,0.6666666666666666,0.8401360544217686,0.4028776978417266,0.920952380952381
2,824,134,34,49,0.860125260960334,0.5903614457831325,0.7784038031038559,0.3684210526315789,0.8386167146974063
3,746,128,41,55,0.8535469107551488,0.5729166666666666,0.7794741609458429,0.3942652329749104,0.8257731958762886
4,616,125,40,53,0.8313090418353576,0.5698924731182796,0.7499746056622119,0.39114391143911437,0.802158273381295
5,493,113,38,48,0.8135313531353136,0.5581395348837209,0.7390244838437331,0.38866396761133604,0.7817919075144508
6,389,105,33,40,0.7874493927125507,0.547945205479452,0.7346237036215407,0.3669724770642202,0.7566137566137566
7,318,97,26,42,0.7662650602409639,0.6176470588235294,0.7501771793054572,0.4057971014492754,0.7453416149068323
8,258,83,28,40,0.7565982404692082,0.5882352941176471,0.7247283077453855,0.418848167539267,0.7286063569682152
9,214,71,28,41,0.7508771929824561,0.5942028985507246,0.723620645817442,0.4530386740331492,0.7203389830508474
10,188,58,27,42,0.7642276422764228,0.6086956521739131,0.7191587133262638,0.4970414201183432,0.7301587301587301
11,162,54,24,40,0.75,0.625,0.7212094907407407,0.5063291139240507,0.7214285714285714
12,145,47,20,41,0.7552083333333334,0.6721311475409836,0.7365949453551912,0.5503355704697986,0.7351778656126482
13,130,42,20,38,0.7558139534883721,0.6551724137931034,0.72443865276664,0.5507246376811594,0.7304347826086957
14,113,37,20,37,0.7533333333333333,0.6491228070175439,0.7308771929824561,0.5648854961832062,0.7246376811594203
1,848,153,13,36,0.8471528471528471,0.7346938775510204,0.8773879182042448,0.3025210084033613,0.8419047619047619
2,817,132,34,58,0.8609062170706007,0.6304347826086957,0.8010720667063729,0.41134751773049644,0.840537944284342
3,744,123,44,59,0.8581314878892734,0.5728155339805825,0.7770685658615246,0.41403508771929826,0.8278350515463917
4,594,147,38,55,0.8016194331983806,0.5913978494623656,0.7444604065996256,0.3728813559322034,0.7781774580335732
5,474,135,36,47,0.7783251231527094,0.5662650602409639,0.7179258907551387,0.35471698113207545,0.7528901734104047
6,355,127,36,49,0.7365145228215768,0.5764705882352941,0.7063705150109838,0.37547892720306514,0.7125220458553791
7,299,106,27,51,0.7382716049382716,0.6538461538461539,0.7210826210826211,0.4340425531914894,0.7246376811594203
8,244,91,25,49,0.7283582089552239,0.6621621621621622,0.736062928600242,0.45794392523364486,0.7163814180929096
9,200,84,22,48,0.704225352112676,0.6857142857142857,0.7238933601609658,0.4752475247524752,0.7005649717514124
10,175,74,24,42,0.7028112449799196,0.6363636363636364,0.6991602774735305,0.46153846153846156,0.6888888888888889
11,152,64,24,40,0.7037037037037037,0.625,0.7133969907407407,0.47619047619047616,0.6857142857142857
12,139,51,23,40,0.7315789473684211,0.6349206349206349,0.7188805346700082,0.5194805194805194,0.7075098814229249
13,118,50,21,41,0.7023809523809523,0.6612903225806451,0.7225422427035331,0.5359477124183006,0.691304347826087
14,111,41,16,39,0.7302631578947368,0.7090909090909091,0.7296650717703349,0.5777777777777777,0.7246376811594203
1,887,116,15,32,0.8843469591226321,0.6808510638297872,0.8567276892726077,0.3282051282051282,0.8752380952380953
2,852,102,36,51,0.8930817610062893,0.5862068965517241,0.8123810212294272,0.425,0.8674351585014409
3,746,130,37,57,0.8515981735159818,0.6063829787234043,0.7917638200718935,0.40569395017793597,0.8278350515463917
4,601,140,36,57,0.8110661268556005,0.6129032258064516,0.7791998606939184,0.3931034482758621,0.7889688249400479
5,480,123,37,52,0.7960199004975125,0.5842696629213483,0.7554922019117893,0.3939393939393939,0.7687861271676301
6,387,87,38,55,0.8164556962025317,0.5913978494623656,0.733746200263146,0.46808510638297873,0.7795414462081128
7,326,67,40,50,0.8295165394402035,0.5555555555555556,0.7356516822165677,0.4830917874396135,0.7784679089026915
8,260,62,36,51,0.8074534161490683,0.5862068965517241,0.7234596987220674,0.51,0.7603911980440098
9,218,53,34,49,0.8044280442804428,0.5903614457831325,0.7251589383363712,0.5297297297297298,0.7542372881355932
10,189,44,30,52,0.8111587982832618,0.6341463414634146,0.7499738302104051,0.5842696629213483,0.765079365079365
11,168,35,31,46,0.8275862068965517,0.5974025974025974,0.7612436824259484,0.5822784810126582,0.7642857142857142
12,154,26,31,42,0.8555555555555555,0.5753424657534246,0.7755707762557077,0.5957446808510638,0.7747035573122529
13,140,21,30,39,0.8695652173913043,0.5652173913043478,0.7650553605184984,0.6046511627906976,0.7782608695652173
14,125,17,34,31,0.8802816901408451,0.47692307692307695,0.7692307692307693,0.5486725663716814,0.7536231884057971
