Time Step,TN,FP,FN,TP,Specificity,Recall,ROC AUC,F1 Score,Accuracy
1,892,116,11,31,0.8849206349206349,0.7380952380952381,0.8642526455026455,0.328042328042328,0.8790476190476191
2,797,161,29,54,0.8319415448851775,0.6506024096385542,0.7858741856779938,0.3624161073825503,0.8174831892411143
3,725,149,34,62,0.8295194508009154,0.6458333333333334,0.7829662471395882,0.40390879478827363,0.811340206185567
4,594,147,34,59,0.8016194331983806,0.6344086021505376,0.7391783843396748,0.39464882943143814,0.7829736211031175
5,465,141,32,54,0.7673267326732673,0.627906976744186,0.7354171463657994,0.38434163701067614,0.75
6,364,130,27,46,0.7368421052631579,0.6301369863013698,0.7392268870278964,0.36947791164658633,0.7231040564373897
7,307,108,25,43,0.7397590361445783,0.6323529411764706,0.7416017009213325,0.3926940639269406,0.7246376811594203
8,251,90,24,44,0.7360703812316716,0.6470588235294118,0.7352509918923581,0.43564356435643564,0.7212713936430318
9,206,79,25,44,0.7228070175438597,0.6376811594202898,0.7342995169082125,0.4583333333333333,0.7062146892655368
10,192,54,28,41,0.7804878048780488,0.5942028985507246,0.7354188759278897,0.5,0.7396825396825397
11,165,51,23,41,0.7638888888888888,0.640625,0.724609375,0.5256410256410257,0.7357142857142858
12,153,39,25,36,0.796875,0.5901639344262295,0.7204576502732242,0.5294117647058824,0.7470355731225297
13,141,31,27,31,0.8197674418604651,0.5344827586206896,0.7161186848436247,0.5166666666666667,0.7478260869565218
14,118,32,25,32,0.7866666666666666,0.5614035087719298,0.7197660818713449,0.5289256198347108,0.7246376811594203
1,825,176,11,38,0.8241758241758241,0.7755102040816326,0.882464474301209,0.2889733840304182,0.8219047619047619
2,744,205,27,65,0.7839831401475237,0.7065217391304348,0.8241741879323774,0.35911602209944754,0.777137367915466
3,678,189,31,72,0.7820069204152249,0.6990291262135923,0.8112675110021165,0.3956043956043956,0.7731958762886598
4,566,175,29,64,0.7638326585695007,0.6881720430107527,0.7877323581907623,0.3855421686746988,0.7553956834532374
5,475,134,29,54,0.7799671592775042,0.6506024096385542,0.7848734840841198,0.3985239852398524,0.7644508670520231
6,368,114,31,54,0.7634854771784232,0.6352941176470588,0.775030510129363,0.4268774703557312,0.7442680776014109
7,311,94,27,51,0.7679012345679013,0.6538461538461539,0.7915796138018361,0.45739910313901344,0.7494824016563147
8,256,79,23,51,0.764179104477612,0.6891891891891891,0.781645824929407,0.5,0.7506112469437652
9,213,71,24,46,0.75,0.6571428571428571,0.7747987927565393,0.4919786096256685,0.731638418079096
10,190,59,24,42,0.7630522088353414,0.6363636363636364,0.766216380674212,0.5029940119760479,0.7365079365079366
11,167,49,25,39,0.7731481481481481,0.609375,0.759837962962963,0.5131578947368421,0.7357142857142858
12,151,39,23,40,0.7947368421052632,0.6349206349206349,0.7653299916457811,0.5633802816901409,0.7549407114624506
13,139,29,25,37,0.8273809523809523,0.5967741935483871,0.753168202764977,0.578125,0.7652173913043478
14,124,28,20,35,0.8157894736842105,0.6363636363636364,0.7715311004784688,0.5932203389830508,0.7681159420289855
1,794,209,10,37,0.7916251246261217,0.7872340425531915,0.8508729131753675,0.2525597269624573,0.7914285714285715
2,739,215,27,60,0.7746331236897275,0.6896551724137931,0.7861032795970987,0.3314917127071823,0.7675312199807877
3,674,202,31,63,0.769406392694064,0.6702127659574468,0.7565578548528126,0.35097493036211697,0.7597938144329897
4,559,182,34,59,0.7543859649122807,0.6344086021505376,0.7326629228157241,0.3532934131736527,0.7410071942446043
5,443,160,31,58,0.7346600331674958,0.651685393258427,0.7263681592039801,0.3778501628664495,0.7239884393063584
6,363,111,35,58,0.7658227848101266,0.6236559139784946,0.7182523478971007,0.44274809160305345,0.7425044091710759
7,301,92,34,56,0.7659033078880407,0.6222222222222222,0.7292620865139949,0.47058823529411764,0.7391304347826086
8,243,79,39,48,0.7546583850931677,0.5517241379310345,0.7060041407867496,0.4485981308411215,0.7114914425427873
9,201,70,36,47,0.7416974169741697,0.5662650602409639,0.7257813541990842,0.47,0.7005649717514124
10,169,64,33,49,0.7253218884120172,0.5975609756097561,0.7425939495446456,0.5025641025641026,0.692063492063492
11,151,52,28,49,0.7438423645320197,0.6363636363636364,0.7361013370865588,0.550561797752809,0.7142857142857143
12,136,44,29,44,0.7555555555555555,0.6027397260273972,0.7529680365296804,0.546583850931677,0.7114624505928854
13,124,37,29,40,0.7701863354037267,0.5797101449275363,0.7199567917904403,0.547945205479452,0.7130434782608696
14,107,35,25,40,0.7535211267605634,0.6153846153846154,0.7247020585048755,0.5714285714285714,0.7101449275362319
