Time Step,TN,FP,FN,TP,Specificity,Recall,ROC AUC,F1 Score,Accuracy
1,0,1008,0,42,0.0,1.0,0.5,0.07692307692307693,0.04
2,0,958,0,83,0.0,1.0,0.5,0.14768683274021352,0.07973102785782901
3,0,874,0,96,0.0,1.0,0.5,0.1801125703564728,0.09896907216494845
4,0,741,0,93,0.0,1.0,0.5,0.20064724919093851,0.11151079136690648
5,0,606,0,86,0.0,1.0,0.5,0.2210796915167095,0.12427745664739884
6,0,494,0,73,0.0,1.0,0.5,0.228125,0.12874779541446207
7,0,415,0,68,0.0,1.0,0.5,0.24682395644283123,0.14078674948240166
8,0,341,0,68,0.0,1.0,0.5,0.2851153039832285,0.16625916870415647
9,0,285,0,69,0.0,1.0,0.5,0.3262411347517731,0.19491525423728814
10,0,246,0,69,0.0,1.0,0.5,0.359375,0.21904761904761905
11,0,216,0,64,0.0,1.0,0.5,0.37209302325581395,0.22857142857142856
12,0,192,0,61,0.0,1.0,0.5,0.3885350318471338,0.24110671936758893
13,0,172,0,58,0.0,1.0,0.5,0.4027777777777778,0.25217391304347825
14,0,150,0,57,0.0,1.0,0.5,0.4318181818181818,0.2753623188405797
1,0,1001,0,49,0.0,1.0,0.5,0.08917197452229299,0.04666666666666667
2,0,949,0,92,0.0,1.0,0.5,0.1624007060900265,0.08837656099903939
3,0,867,0,103,0.0,1.0,0.5,0.19198508853681268,0.10618556701030928
4,0,741,0,93,0.0,1.0,0.5,0.20064724919093851,0.11151079136690648
5,0,609,0,83,0.0,1.0,0.5,0.21419354838709678,0.1199421965317919
6,0,482,0,85,0.0,1.0,0.5,0.2607361963190184,0.14991181657848324
7,0,405,0,78,0.0,1.0,0.5,0.27807486631016043,0.16149068322981366
8,0,335,0,74,0.0,1.0,0.5,0.3064182194616977,0.18092909535452323
9,0,284,0,70,0.0,1.0,0.5,0.330188679245283,0.1977401129943503
10,0,249,0,66,0.0,1.0,0.5,0.3464566929133858,0.20952380952380953
11,0,216,0,64,0.0,1.0,0.5,0.37209302325581395,0.22857142857142856
12,0,190,0,63,0.0,1.0,0.5,0.3987341772151899,0.2490118577075099
13,0,168,0,62,0.0,1.0,0.5,0.4246575342465753,0.26956521739130435
14,0,152,0,55,0.0,1.0,0.5,0.4198473282442748,0.26570048309178745
1,0,1003,0,47,0.0,1.0,0.5,0.08568824065633546,0.04476190476190476
2,0,954,0,87,0.0,1.0,0.5,0.15425531914893617,0.08357348703170028
3,0,876,0,94,0.0,1.0,0.5,0.17669172932330826,0.09690721649484536
4,0,741,0,93,0.0,1.0,0.5,0.20064724919093851,0.11151079136690648
5,0,603,0,89,0.0,1.0,0.5,0.22791293213828426,0.12861271676300579
6,0,474,0,93,0.0,1.0,0.5,0.2818181818181818,0.164021164021164
7,0,393,0,90,0.0,1.0,0.5,0.31413612565445026,0.18633540372670807
8,0,322,0,87,0.0,1.0,0.5,0.35080645161290325,0.21271393643031786
9,0,271,0,83,0.0,1.0,0.5,0.37986270022883295,0.2344632768361582
10,0,233,0,82,0.0,1.0,0.5,0.41309823677581864,0.26031746031746034
11,0,203,0,77,0.0,1.0,0.5,0.43137254901960786,0.275
12,0,180,0,73,0.0,1.0,0.5,0.44785276073619634,0.2885375494071146
13,0,161,0,69,0.0,1.0,0.5,0.46153846153846156,0.3
14,0,142,0,65,0.0,1.0,0.5,0.47794117647058826,0.3140096618357488
